Country,Airport
Australia, St George Airport (SGO/YSGE) 
Australia, Stanthorpe Airport (SNH/YSPE) 
Australia, Stawell Airport (SWC/YSWL) 
Australia, Strahan Airport (SRN/YSRN) 
Australia, Streaky Bay Airport (KBY/YKBY) 
Australia, Warraber Island Airport (SYU/YWBS) 
Australia, Sunshine Coast Airport (MCY/YBSU) 
Australia, Swan Hill Airport (SWH/YSWH) 
Australia, Sydney Kingsford Smith Airport (SYD/YSSY) 
Australia, Tamworth Airport (TMW/YSTW) 
Australia, Tangalooma Airport (TAN/YTGA) 
Australia, Tara Airport (XTR/YTAA) 
Australia, Taree Airport (TRO/YTRE) 
Australia, Taroom Airport (XTO/YTAM) 
Australia, Telfer Airport (TEF/YTEF) 
Australia, Temora Airport (TEM/YTEM) 
Australia, Tennant Creek Airport (TCA/YTNK) 
Australia, Thangool Airport (THG/YTNG) 
Australia, Thargomindah Airport (XTG/YTGM) 
Australia, The Granites Airport (GTS/YTGT) 
Australia, Theda Station Airport (TDN/YTHD) 
Australia, Theodore Airport (TDR/YTDR) 
Australia, Tibooburra Airport (TYB/YTIB) 
Australia, Timber Creek Airport (TBK/YTBR) 
Australia, Tocumwal Airport (TCW/YTOC) 
Australia, Toowoomba Airport (TWB/YTWB) 
Australia, Toowoomba Brisbane West Wellcamp Airport (WTB/YBWW) 
Australia, Townsville Airport (TSV/YBTL) 
Australia, Trepell Airport (TQP/YTEE) 
Australia, Tropicana Airport (QBT/YTRA) 
Australia, Tumut Airport (TUM/YTMU) 
Australia, Turkey Creek Airport (TKY/YTKY) 
Australia, Vanrook Station Airport (VNR/YVRS) 
Australia, Victoria River Downs Airport (VCD/YVRD) 
Australia, Wagga Wagga Airport (WGA/YSWG) 
Australia, Walgett Airport (WGE/YWLG) 
Australia, Wangaratta Airport (WGT/YWGT) 
Australia, Warrnambool Airport (WMB/YWBL) 
Australia, Warwick Airport (WAZ/YWCK) 
Australia, Weipa Airport (WEI/YBWP) 
Australia, West Angelas Airport (WLP/YANG) 
Australia, West Wyalong Airport (WWY/YWWL) 
Australia, Whyalla Airport (WYA/YWHA) 
Australia, Wilcannia Airport (WIO/YWCA) 
Australia, Wiluna Airport (WUN/YWLU) 
Australia, Windarling Airport (WRN/YWDG) 
Australia, Windorah Airport (WNR/YWDH) 
Australia, Winton Airport (WIN/YWTN) 
Australia, Wodgina Airport (QBW/YWGA) 
Australia, Wodgina Airport (GYB/YWDC) 
Australia, Wollongong Shellharbour Airport (WOL/YSHL) 
Australia, Wondai Airport (WDI/YWND) 
Australia, Woodie Woodie Airport (WWI/YWWI) 
Australia, Wudinna Airport (WUD/YWUD) 
Australia, Wurrumiyanga Bathurst Island Airport (BRT/YBTI) 
Australia, Wyndham Airport (WYN/YWYM) 
Australia, Yalata Mission Airport (KYI/YYTA) 
Australia, Yam Island Airport (XMY/YYMI) 
Australia, Yorke Island Airport (OKR/YYKI) 
Australia, Yorketown Airport (ORR/YYOR) 
Australia, Young Airport (NGA/YYNG) 
Australia, Yuendumu Airport (YUE/YYND) 
Austria, Graz Airport (GRZ/LOWG) 
